# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
dai hou ji qi ren 	贷后機器人	c=1 d=1 t=57243
dai hui 	帶回	c=1 d=1 t=133300
dai hui er 	待會兒	c=24 d=1.47001 t=126479
dai hui jia 	帶回家	c=1 d=1 t=133281
dai hui lai 	帶回來	c=0 d=0.1 t=91913
dai huo 	帶貨	c=1 d=1 t=48982
dai ji tian 	待几天	c=1 d=1 t=32648
dai jia 	代價	c=1 d=1 t=96793
dai jiao 	代缴	c=3 d=1 t=134529
dai jiu 	待久	c=1 d=1 t=133195
dai kou 	代扣	c=1 d=1 t=55439
dai kuan 	貸款	c=17 d=1 t=80518
dai lai 	帶來	c=12 d=1 t=130177
dai le 	呆了	c=1 d=1 t=123639
dai le 	帶了	c=5 d=1 t=87862
dai le 	待了	c=5 d=1.37908 t=132520
dai li 	代理	c=12 d=1.00335 t=121292
dai ling 	帶領	c=3 d=1.15803 t=121860
dai lu 	帶路	c=1 d=1 t=107446
dai ma 	代碼	c=97 d=1 t=132170
dai ma kuai 	代码块	c=1 d=1 t=20774
dai ma ti 	代码题	c=1 d=1 t=132198
dai mei 	带妹	c=5 d=1 t=86433
dai ming 	待命	c=1 d=1 t=107608
dai ming ci 	代名詞	c=1 d=1 t=72572
dai ni 	帶你	c=19 d=1 t=131964
dai ni fei 	带你飞	c=3 d=1 t=89959
dai ni liang 	帶你倆	c=1 d=1 t=44977
dai ni men 	带你们	c=1 d=1 t=132237
dai pai 	帶排	c=1 d=1 t=71260
dai qian 	贷前	c=20 d=1 t=115458
dai qian fen 	贷前分	c=2 d=1.79057 t=5660
dai qian fen shu 	贷前分數	c=1 d=1 t=2360
dai quan zhong 	帶權重	c=1 d=1 t=119749
dai ren 	帶人	c=2 d=1 t=108622
dai ru 	代入	c=5 d=1.00053 t=111436
dai ru 	帶入	c=3 d=1 t=38538
dai shang 	帶上	c=3 d=1 t=129024
dai shang fen 	帶上分	c=1 d=1 t=70123
dai shang wo 	带上我	c=1 d=1 t=68831
dai ta 	帶他	c=2 d=1 t=128947
dai ti 	代替	c=6 d=1 t=110237
dai tou 	帶頭	c=1 d=1 t=133325
dai tu 	歹徒	c=1 d=1 t=15762
dai wa 	带娃	c=1 d=1 t=81244
dai wo 	帶我	c=67 d=1 t=133860
dai wo 	逮我	c=1 d=1 t=69018
dai wo men 	帶我們	c=1 d=1 t=13384
dai xia hu 	逮蝦戶	c=1 d=1 t=118314
dai xian 	带线	c=4 d=1 t=116604
dai xin 	帶薪	c=1 d=1 t=129726
dai xue 	帶血	c=1 d=1 t=62336
dai yan 	代言	c=1 d=1 t=46395
dai yan ren 	代言人	c=1 d=1 t=85228
dai yi ge 	带一个	c=1 d=1 t=100593
dai you 	帶有	c=1 d=0.100003 t=27041
dai yu 	待遇	c=3 d=1 t=119881
dai yu ce 	待預測	c=1 d=1 t=16503
dai zhang 	代帳	c=4 d=3.10095 t=61159
dai zhe 	帶着	c=3 d=1 t=108056
dai zhe 	待着	c=5 d=1.47473 t=133335
dai zhong 	贷中	c=1 d=1 t=9239
dai zi 	袋子	c=1 d=1 t=40724
dai zou 	帶走	c=8 d=1 t=131079
dan 	丹	c=1 d=1 t=92602
dan 	但	c=68 d=1 t=134804
dan 	單	c=11 d=1 t=123709
dan 	彈	c=0 d=0.1 t=107262
dan 	淡	c=1 d=1 t=117825
dan 	蛋	c=10 d=1.97531 t=133792
dan bian 	單邊	c=1 d=1 t=56884
dan bu 	單步	c=0 d=0.1 t=47278
dan ce 	单测	c=1 d=1 t=83119
dan ce 	單側	c=1 d=1 t=4276
dan che 	單車	c=1 d=1 t=40690
dan chun 	單純	c=5 d=1 t=106654
dan ci 	單詞	c=16 d=1 t=126781
dan dan 	蛋蛋	c=4 d=1.10753 t=83018
dan dang 	擔當	c=1 d=1 t=17614
dan dian 	單點	c=1 d=1 t=96941
dan diao xing 	单调性	c=2 d=1.92774 t=6175
dan du 	單獨	c=15 d=1 t=130578
dan du fa 	單獨發	c=1 d=1 t=19101
dan du yong 	單獨用	c=1 d=1 t=105634
dan dui yu 	但對於	c=2 d=1 t=27068
dan fang mian 	單方面	c=1 d=1 t=133409
dan feng 	单峰	c=1 d=1 t=42950
dan gan 	單幹	c=6 d=1 t=100222
dan gao 	蛋糕	c=2 d=1 t=65811
dan ge 	單個	c=10 d=1 t=104632
dan hang 	單行	c=2 d=1 t=68003
dan hua tang 	蛋花湯	c=1 d=1 t=68498
dan hui 	丹暉	c=6 d=1 t=103897
dan hui 	丹輝	c=2 d=1.27117 t=98648
dan hui 	但会	c=1 d=1 t=105831
dan ji 	單機	c=4 d=1 t=68095
dan ji lu 	但記錄	c=1 d=1 t=56574
dan ji lu 	單記錄	c=2 d=1.01984 t=57537
dan ka 	单卡	c=2 d=1 t=109270
dan kan 	单看	c=1 d=1 t=39545
dan mai 	單賣	c=1 d=1 t=107989
dan mian 	蛋面	c=2 d=1.00053 t=87668
dan mo xing 	单模型	c=1 d=1 t=881
dan mu 	彈幕	c=3 d=1 t=120984
dan ni 	但你	c=2 d=1 t=44132
dan pai 	單排	c=21 d=1.00002 t=120936
dan pai yi ba 	單排一把	c=1 d=1 t=117356
dan qiu 	彈球	c=1 d=1 t=121073
dan quan 	單圈	c=2 d=1 t=59742
dan ren 	單人	c=2 d=1 t=98654
dan ren 	擔任	c=1 d=1 t=124423
dan ri 	單日	c=3 d=1 t=71766
dan sao 	蛋嫂	c=1 d=1 t=71476
dan sha 	单杀	c=8 d=1 t=124981
dan shen 	單身	c=3 d=1 t=103424
dan shi 	但是	c=134 d=2.27828 t=133604
dan shi 	單是	c=1 d=1 t=46805
dan shou 	單手	c=2 d=1 t=111275
dan suan 	單算	c=1 d=1 t=54619
dan te zheng 	单特征	c=7 d=1.02939 t=73080
dan teng 	蛋疼	c=15 d=2.03329 t=133752
dan wei 	單位	c=8 d=1 t=88481
dan wo 	但我	c=3 d=1 t=109332
dan wu suo wei 	但無所謂	c=1 d=1 t=99115
dan xian cheng 	单线程	c=1 d=1 t=47907
dan xiang 	單向	c=4 d=1 t=108529
dan xin 	丹心	c=1 d=1 t=33
dan xin 	担心	c=33 d=1.34819 t=130782
dan xin ni 	担心你	c=1 d=1 t=52834
dan yang 	丹陽	c=0 d=0.1 t=97300
dan ye 	但也	c=1 d=1 t=57340
dan ye 	單頁	c=2 d=1.9802 t=19537
dan yin hao 	單引號	c=1 d=1 t=26179
dan ying gai 	但应该	c=1 d=1 t=95644
dan yong hu 	单用户	c=1 d=1 t=64275
dan you 	但又	c=1 d=1 t=17607
dan yuan 	單元	c=11 d=0.1 t=132946
dan zai 	但在	c=1 d=1 t=16171
dan zhe 	單着	c=1 d=1 t=115611
dan zi 	單子	c=5 d=2.09861 t=34417
dan zong 	蛋总	c=136 d=1.17961 t=134505
dan zong gen 	蛋总跟	c=1 d=1 t=114336
dan zong lai 	蛋总來	c=1 d=1 t=75096
dan zong yi yang 	蛋总一樣	c=1 d=1 t=68504
dang 	擋	c=4 d=1 t=121283
dang 	檔	c=2 d=1 t=116635
dang 	當	c=52 d=1.00001 t=130260
dang 	黨	c=2 d=1 t=72859
dang chang 	當場	c=1 d=1 t=37036
dang cheng 	當成	c=1 d=1 t=26211
dang chu 	當初	c=7 d=1 t=95175
dang ci 	檔次	c=1 d=1 t=31485
dang di 	當地	c=1 d=1 t=83055
dang die 	当爹	c=1 d=1 t=90904
dang ge 	當個	c=4 d=1 t=130334
dang jian 	黨建	c=1 d=1 t=128454
dang ni 	當你	c=4 d=1 t=120662
dang qian 	當前	c=42 d=1 t=125427
dang qie jin dang 	當且僅當	c=1 d=1 t=15942
dang qu 	當去	c=1 d=1 t=70738
dang ran 	當然	c=14 d=1.00235 t=134248
dang ri 	當日	c=2 d=1.99005 t=8923
dang shi 	當時	c=41 d=2.46415 t=133631
dang shi ren 	當事人	c=1 d=1 t=133972
dang tian 	當天	c=2 d=1 t=59635
dang wan 	當晚	c=2 d=1 t=53559
dang wo 	當我	c=2 d=1.00054 t=96664
dang yuan 	黨員	c=1 d=1 t=22209
dang zhe 	當着	c=1 d=1 t=21284
dang zhen 	當真	c=2 d=1 t=122551
dang zhi bu 	黨支部	c=1 d=1 t=128405
dang zhong 	當中	c=1 d=1 t=39073
dang zuo 	當作	c=2 d=1 t=47522
dao 	倒	c=2 d=1 t=118347
dao 	刀	c=9 d=0.100007 t=128132
dao 	到	c=244 d=1.39384 t=134500
dao 	導	c=4 d=1 t=112712
dao 	道	c=1 d=0.1 t=132318
dao bei 	倒杯	c=1 d=1 t=70165
dao bu liao 	到不了	c=4 d=1 t=75231
dao chang 	到場	c=2 d=1 t=132938
dao chu 	到處	c=7 d=1 t=111100
dao chu 	導出	c=2 d=1.99501 t=104402
dao da 	到達	c=0 d=0.1 t=111955
dao da dian 	到達點	c=3 d=2.36117 t=112037
dao de 	道德	c=2 d=1 t=80351
dao di 	倒地	c=3 d=1 t=42285
dao di 	到底	c=9 d=1 t=133371
dao dian 	到點	c=2 d=1 t=90836
dao fu 	到付	c=1 d=1 t=128709
dao gou 	倒鉤	c=1 d=1 t=94375
dao gua 	倒掛	c=1 d=1 t=24976
dao hou mian 	到後面	c=1 d=1 t=104605
dao jia 	到家	c=8 d=1 t=128293
dao ke 	刀客	c=1 d=1 t=90194
dao le 	到了	c=15 d=1.14957 t=133498
dao le ma 	到了吗	c=1 d=1 t=4032
dao li 	道理	c=7 d=1 t=133036
dao liu 	導流	c=4 d=1 t=102712
dao mai 	倒賣	c=3 d=1.34086 t=99245
dao mai liu 	倒賣流	c=2 d=1.5627 t=97780
dao mang 	倒忙	c=1 d=1 t=84308
dao na er 	到那儿	c=1 d=1 t=52737
dao ni 	到你	c=1 d=1.00006 t=25800
dao pai 	倒排	c=2 d=1.89137 t=104481
dao pian 	刀片	c=0 d=0.1 t=72550
dao qi 	到期	c=2 d=1.74082 t=50351
dao qu 	盜取	c=1 d=1 t=116065
dao ren 	到人	c=1 d=1 t=122024
dao ru 	導入	c=8 d=1 t=121132
dao shen 	刀神	c=1 d=1 t=21241
dao shi 	倒是	c=11 d=1 t=127270
dao shi 	導師	c=2 d=1 t=112315
dao shi hou 	到時候	c=42 d=1.22072 t=132382
dao shou 	到手	c=3 d=1 t=80672
dao shu 	倒數	c=1 d=1 t=103215
dao shu 	導數	c=17 d=1.92774 t=120310
dao si 	到死	c=1 d=0.1 t=125045
dao tai 	倒臺	c=1 d=1 t=16857
dao tui 	倒推	c=1 d=1 t=2343
dao wan 	到晚	c=2 d=1 t=134015
dao wan shang 	到晚上	c=1 d=1 t=75413
dao wei 	到位	c=4 d=1 t=111295
dao wei le 	到位了	c=2 d=1 t=26118
dao wo 	到我	c=1 d=1 t=120863
dao xia 	倒下	c=1 d=1 t=4930
dao xian zai 	到現在	c=2 d=1 t=73085
dao xiang 	導向	c=2 d=1 t=116933
dao xiang cun 	稻香村	c=4 d=1.41686 t=65881
dao you 	到有	c=1 d=1 t=44583
dao you 	導遊	c=1 d=1 t=4531
dao zhang 	到帳	c=3 d=0.584325 t=104661
dao zhang le 	到帳了	c=1 d=1 t=104662
dao zhe 	倒着	c=1 d=1 t=1076
dao zhi 	導致	c=40 d=1 t=124386
dao zhu 	島主	c=2 d=1 t=26356
dao zi 	刀子	c=0 d=0.1 t=33950
de 	地	c=19 d=1 t=132763
de 	得	c=40 d=1 t=133748
de 	的	c=7378 d=8.00532 t=134813
de bi 	德比	c=0 d=0.1 t=90690
de cheng 	得逞	c=1 d=1 t=118339
de chu 	得出	c=2 d=1 t=100266
de cun jin chi 	得寸進尺	c=1 d=1 t=128563
de dao 	得到	c=42 d=1 t=132501
de dun 	德頓	c=1 d=1 t=12889
de duo 	的多	c=1 d=1 t=105921
de fen 	得分	c=5 d=1 t=106824
de guo 	德國	c=3 d=1 t=125588
de hen 	得很	c=2 d=1 t=82688
de jia 	德甲	c=1 d=1 t=115273
de le 	得了	c=9 d=1 t=131789
de ming 	得名	c=1 d=1 t=39104
de qin 	德勤	c=1 d=1 t=132740
de sheng men 	德勝門	c=2 d=1.67706 t=52454
de yun se 	德雲色	c=1 d=1 t=110128
de zhou 	德州	c=1 d=1 t=98990
de zhu 	得住	c=0 d=0.1 t=43148
de zui 	得罪	c=2 d=1 t=67879
dead 	dead	c=1 d=1 t=4459
def 	def	c=2 d=1 t=94580
dei 	得	c=177 d=1.01504 t=134450
dei cong 	得從	c=1 d=1 t=128152
dei jie jue 	得解決	c=1 d=1 t=47314
dei kan 	得看	c=3 d=1 t=51015
dei shi 	得是	c=2 d=1 t=115847
dei wan 	得玩	c=1 d=1 t=85587
dei xian 	得先	c=1 d=1 t=35444
dei yong 	得用	c=3 d=1 t=98764
dei you 	得有	c=5 d=1 t=83313
dei zhao 	得找	c=1 d=1 t=57348
dei zou 	得走	c=1 d=1 t=34597
deng 	燈	c=1 d=1 t=115598
deng 	登	c=2 d=1 t=122446
deng 	等	c=125 d=1.02112 t=134830
deng 	鄧	c=5 d=1.86001 t=100192
deng ba 	等吧	c=1 d=1 t=104622
deng chang 	等長	c=3 d=1 t=58327
deng dai 	等待	c=9 d=1 t=122713
deng deng 	等等	c=12 d=1 t=108155
deng ge 	等個	c=1 d=1 t=81309
deng ge pi 	等個屁	c=1 d=1 t=49609
deng hao 	等好	c=1 d=1 t=29478
deng ji 	登記	c=2 d=1 t=120865
deng ji 	等級	c=15 d=1 t=118866
deng ji tian 	等幾天	c=1 d=1 t=61759
deng jia 	等價	c=3 d=1 t=110220
deng kuan 	等宽	c=1 d=1 t=27310
deng lai 	等來	c=1 d=1 t=63053
deng lao shi 	鄧老師	c=2 d=1.03652 t=100147
deng lu 	登錄	c=25 d=1 t=120264
deng lu yi xia 	登录一下	c=2 d=1 t=104787
deng mao shen 	等毛神	c=1 d=1 t=86224
deng ni 	等你	c=35 d=1 t=131794
deng nin 	等您	c=1 d=1 t=116951
deng pan 	鄧盼	c=1 d=1 t=103920
deng pin 	等频	c=2 d=1 t=100191
deng shang 	等上	c=1 d=1 t=124644
deng si 	等死	c=1 d=1 t=75104
deng ta 	等他	c=1 d=1 t=39592
deng ta 	等她	c=1 d=1 t=52028
deng tong yu 	等同於	c=2 d=1 t=107175
deng wo 	等我	c=36 d=1 t=134545
deng wo men 	等我们	c=1 d=1 t=73418
deng wo yi xia 	等我一下	c=1 d=1 t=91443
deng xia 	等下	c=22 d=1 t=126464
deng xiao 	等效	c=1 d=1 t=115301
deng xiao ping 	鄧小平	c=1 d=1 t=133390
deng yi deng 	等一等	c=1 d=1 t=86335
deng yi xia 	等一下	c=5 d=1 t=123829
deng yu 	等於	c=7 d=1 t=96908
deng zhe 	等着	c=8 d=1 t=133909
di 	低	c=37 d=0.100053 t=133587
di 	地	c=2 d=1 t=96990
di 	帝	c=1 d=1 t=97443
di 	底	c=2 d=1 t=105074
di 	弟	c=5 d=1 t=105106
di 	抵	c=4 d=1 t=84372
di 	敵	c=1 d=0.1 t=96372
di 	滴	c=2 d=1 t=129967
di 	狄	c=0 d=0.1 t=129129
di 	的	c=1 d=1 t=84020
di 	第	c=25 d=1 t=114552
di 	迪	c=1 d=1 t=36389
di 	遞	c=0 d=0.1 t=44346
di ba 	第八	c=3 d=1.16447 t=101375
di ba ji 	第八季	c=1 d=1 t=18382
di ba ming 	第八名	c=1 d=1 t=100994
di ban 	地板	c=2 d=1 t=122727
di bang 	低幫	c=1 d=1 t=40526
di bian 	底邊	c=1 d=1 t=97273
di bu 	底部	c=3 d=1 t=93893
di ceng 	底層	c=8 d=1 t=133707
di chan tian 	低產田	c=2 d=1 t=59446
di cheng ben 	低成本	c=2 d=1 t=34292
di da ren 	狄大人	c=1 d=1 t=129130
di di 	弟弟	c=16 d=1 t=120537
di di 	滴滴	c=74 d=2.43724 t=134623
di di liu 	弟弟流	c=1 d=1 t=98016
di dian 	地點	c=3 d=1 t=132429
di diao 	低調	c=3 d=1.89583 t=114766
di duan ju 	低端局	c=2 d=1 t=113637
di duan wei 	低段位	c=1 d=1 t=82694
di er 	第二	c=5 d=0.1 t=130424
di er ba 	第二把	c=1 d=1 t=36011
di er ban 	第二版	c=1 d=1 t=28158
di er bu 	第二步	c=2 d=1 t=38418
di er ceng 	第二層	c=4 d=1 t=16526
di er chang 	第二場	c=1 d=1 t=122494
di er ci 	第二次	c=1 d=1 t=125327
di er duan 	第二段	c=1 d=1 t=126643
di er ge 	第二個	c=4 d=1 t=126613
di er ji 	第二季	c=3 d=1.12003 t=83516
di er ju 	第二句	c=1 d=1 t=51292
di er ju 	第二局	c=5 d=1 t=132911
di er lie 	第二列	c=1 d=1 t=59120
di er ming 	第二名	c=5 d=1 t=113779
di er pi 	第二批	c=2 d=1.10593 t=20299
di er pian 	第二篇	c=2 d=1.98511 t=43028
di er san tian 	第二三天	c=1 d=1 t=33908
di er ti 	第二題	c=1 d=1 t=130425
di er tian 	第二天	c=12 d=1.00366 t=134330
di er zhong 	第二種	c=1 d=1 t=123244
di er zhou 	第二周	c=1 d=1 t=98799
di fang 	地方	c=61 d=1.00071 t=134171
di fen 	低分	c=4 d=1 t=37150
di fen bian lv 	低分辨率	c=1 d=1 t=39031
di fen duan 	低分段	c=1 d=1 t=18851
di gou you 	地溝油	c=1 d=1 t=123019
di gu 	低估	c=1 d=1 t=89447
di gui 	遞歸	c=1 d=1 t=94040
di guo shi dai 	帝國時代	c=1 d=1 t=110925
di ji 	低級	c=1 d=1 t=98052
di ji ge 	第幾個	c=1 d=1 t=82860
di jia 	低價	c=1 d=1 t=102774
di jian 	遞減	c=3 d=2.71867 t=32401
di ku 	底褲	c=1 d=1 t=129596
di le 	低了	c=2 d=1.9802 t=89782
di mei 	弟妹	c=1 d=1 t=105340
di mian 	地面	c=2 d=1 t=94304
di pan 	地盤	c=1 d=1 t=83770
di pei 	低配	c=1 d=1 t=3247
di pin 	低頻	c=0 d=0.1 t=103793
di pin ci 	低頻詞	c=1 d=1 t=103794
di pin zhi 	低品質	c=1 d=1 t=108195
di pu 	迪普	c=1 d=1 t=4215
di qi 	底氣	c=1 d=1 t=126891
di qu 	地區	c=1 d=1 t=81050
di ren 	敵人	c=1 d=1 t=82683
di ren jie 	狄仁傑	c=19 d=1 t=120999
di san 	第三	c=2 d=1 t=89168
di san fang 	第三方	c=2 d=1.00012 t=49592
di san ji 	第三集	c=1 d=1 t=13575
di san shi jie 	第三世界	c=1 d=1 t=54986
di san tian 	第三天	c=2 d=1 t=49628
di shang 	地上	c=5 d=1.956 t=119129
di shi ge 	第十個	c=1 d=1 t=28346
di si fan shi 	第四范式	c=1 d=1 t=65347
di si ge 	第四個	c=1 d=1 t=116572
di tie 	地鐵	c=8 d=1.9802 t=117668
di tou 	低頭	c=1 d=1 t=108317
di tu 	地圖	c=5 d=1.99501 t=134609
di wei 	低維	c=2 d=1 t=111642
di wei 	地位	c=5 d=1 t=106484
di wu 	第五	c=1 d=1 t=101012
di wu ming 	第五名	c=5 d=1 t=101937
di xi 	低息	c=1 d=1 t=54904
di xia 	低下	c=1 d=1 t=69965
di xian 	底線	c=1 d=1 t=86547
di xiao 	抵銷	c=1 d=1 t=115224
di xin 	底薪	c=2 d=1.74082 t=68952
di xing 	低星	c=1 d=1 t=81423
di xing 	地形	c=0 d=0.1 t=18369
di ya 	抵押	c=4 d=1.3597 t=80055
di ya dai 	抵押貸	c=2 d=1.54881 t=55416
di yi 	第一	c=10 d=0.1 t=130384
di yi ba 	第一把	c=1 d=1 t=29664
di yi bai qi 	第一白起	c=1 d=1 t=26939
di yi ban 	第一版	c=1 d=1 t=80397
di yi bo 	第一波	c=3 d=1 t=90610
di yi bu 	第一步	c=4 d=1 t=87092
di yi bu fen 	第一部分	c=1 d=1 t=58549
di yi ceng 	第一层	c=4 d=1 t=75538
di yi ci 	第一次	c=22 d=1 t=129637
di yi dan 	第一单	c=1 d=1 t=57064
di yi fan ying 	第一反应	c=1 d=1 t=95925
di yi fu zhu 	第一輔助	c=1 d=1 t=121262
di yi ge 	第一個	c=17 d=1 t=114770
di yi jian 	第一件	c=3 d=1 t=90135
di yi ju 	第一局	c=3 d=1 t=53268
di yi ju hua 	第一句話	c=1 d=1 t=78198
di yi lie 	第一列	c=1 d=1 t=59118
di yi pi 	第一批	c=4 d=1 t=28757
di yi qi 	第一期	c=1 d=1 t=48496
di yi shou 	第一手	c=1 d=1 t=25763
di yi ti 	第一題	c=1 d=1 t=130385
di yi tian 	第一天	c=4 d=1 t=108354
di yi xie 	低一些	c=1 d=1 t=83384
di yi zhong 	第一種	c=1 d=1 t=42880
di yi zu 	第一组	c=1 d=1 t=75532
di yu 	低於	c=1 d=1 t=27821
di yu 	地獄	c=0 d=0.1 t=51496
di yu zhi yan 	地獄之眼	c=1 d=1 t=51497
di yun 	底蘊	c=2 d=1.9802 t=37502
di zhen 	地震	c=1 d=1 t=119643
di zhi 	地址	c=24 d=1 t=132244
di zhi 	抵制	c=1 d=1 t=106437
di zhi liang 	低质量	c=1 d=1 t=10621
di zhong di 	弟中弟	c=2 d=1 t=37780
di zhu 	地主	c=1 d=1 t=124553
di zuo 	底座	c=2 d=1.956 t=129425
dian 	典	c=1 d=1 t=14588
dian 	店	c=7 d=1 t=120812
dian 	電	c=5 d=1.01786 t=132847
dian 	顛	c=1 d=1 t=35214
dian 	點	c=188 d=1.94852 t=134499
dian ba 	點吧	c=1 d=1 t=120074
dian ban 	點半	c=11 d=1.97303 t=129320
dian cang 	典藏	c=1 d=1 t=105294
dian ci pao 	電磁炮	c=1 d=1 t=40472
dian dao 	電刀	c=1 d=1 t=54437
dian dao 	電到	c=3 d=1 t=133311
dian dao 	顛倒	c=1 d=1 t=65388
dian dao 	點到	c=1 d=1 t=107123
dian de 	點得	c=0 d=0.1 t=70931
dian de kai 	點得開	c=1 d=1 t=70932
dian dian 	點點	c=2 d=1 t=131599
dian dian dian 	点点点	c=1 d=1 t=100752
dian dong che 	電動車	c=0 d=0.1 t=49393
dian dong ya shua 	电动牙刷	c=1 d=1 t=111386
dian duo 	点多	c=2 d=1 t=99206
dian fan guo 	電飯鍋	c=3 d=2.94748 t=40936
dian feng 	巔峯	c=14 d=1 t=132205
dian feng sai 	巅峰赛	c=34 d=1.0016 t=134191
dian ge 	點個	c=3 d=1.49907 t=80709
dian guo 	點過	c=1 d=1 t=99459
dian hu 	佃戶	c=2 d=1.99501 t=64064
dian hua 	電話	c=63 d=1.95602 t=133875
dian ji 	惦記	c=1 d=1 t=134137
dian ji 	點擊	c=19 d=1.00287 t=121168
dian ji lv 	點擊率	c=1 d=1 t=51139
dian le 	點了	c=11 d=1 t=128352
dian li 	店裏	c=1 d=1 t=108408
dian liao 	電療	c=1 d=1 t=127491
dian man 	點滿	c=1 d=1 t=126668
dian nao 	電腦	c=18 d=1 t=104967
dian nao shang 	电脑上	c=1 d=1 t=26829
dian ping 	點評	c=4 d=1 t=115541
dian pu 	店鋪	c=1 d=1 t=125130
dian qi 	踮起	c=1 d=1 t=109433
dian qiu 	顛球	c=1 d=1 t=128239
dian shang 	电商	c=2 d=1 t=62553
dian shang 	點上	c=1 d=1 t=120638
dian shi 	電視	c=9 d=1 t=110938
dian si 	點死	c=2 d=1 t=85427
dian ta 	點塔	c=1 d=1 t=118808
dian ti 	電梯	c=1 d=1 t=83013
dian ti men 	電梯門	c=1 d=1 t=61544
dian wei 	典韦	c=23 d=1 t=134460
dian wei zhi wang 	典韦之王	c=1 d=1 t=93024
dian xia 	殿下	c=3 d=1 t=131909
dian xiao 	电销	c=2 d=1 t=132264
dian xin 	電信	c=3 d=1 t=68816
dian xin 	點心	c=4 d=1 t=68815
dian xin ji tuan 	電信集團	c=1 d=1 t=6097
dian xin xia zi 	點心匣子	c=1 d=1 t=52741
dian xing 	典型	c=2 d=1 t=52619
dian xuan 	點選	c=1 d=1 t=112679
dian yi dian 	點一點	c=1 d=1 t=104609
dian yi xia 	点一下	c=4 d=1.06765 t=105090
dian ying 	電影	c=5 d=1 t=130915
dian yuan 	電源	c=1 d=1 t=116011
dian zan 	点赞	c=8 d=1 t=110652
dian zhang 	店長	c=1 d=1 t=81844
dian zhong 	點鐘	c=2 d=1 t=76492
dian zi 	電子	c=2 d=1 t=123634
dian zi ban 	電子版	c=1 d=1 t=62831
dian zi fa piao 	电子发票	c=1 d=1 t=95638
dian zi shu 	電子書	c=5 d=1 t=100534
diao 	屌	c=5 d=1 t=129790
diao 	掉	c=22 d=1.00017 t=115239
diao 	釣	c=1 d=1 t=115576
diao cha 	調查	c=1 d=1 t=1147
diao chan 	貂蟬	c=14 d=1.88253 t=131834
diao chui 	吊鎚	c=2 d=1.6942 t=99310
diao da 	吊打	c=6 d=1.97531 t=130473
diao ding 	吊頂	c=1 d=1 t=78034
diao fen 	掉分	c=2 d=1 t=95257
diao hui qu 	掉回去	c=1 d=1 t=53704
diao ke shi guang 	雕刻时光	c=1 d=1 t=18641
diao le 	掉了	c=7 d=1 t=119316
diao le 	釣了	c=1 d=1 t=90845
diao se 	掉色	c=0 d=0.1 t=134058
diao se le 	掉色了	c=1 d=1 t=134059
diao si 	屌丝	c=2 d=1 t=70944
diao tou 	掉頭	c=0 d=0.1 t=108896
diao tou fa 	掉頭發	c=1 d=1 t=108897
diao wei kou 	吊胃口	c=1 d=1 t=69795
diao xia 	掉下	c=1 d=1 t=35517
diao xian 	掉線	c=3 d=1 t=118861
diao xian liu 	掉線流	c=1 d=1 t=43142
diao yan 	調研	c=10 d=1.34301 t=130000
diao yan guo 	調研過	c=1 d=1 t=47232
diao yong 	調用	c=5 d=1.00005 t=100880
diao yong ci shu 	调用次数	c=1 d=1 t=50304
diao yu 	釣魚	c=2 d=1.95123 t=89537
diao yu zhi fa 	釣魚執法	c=1 d=1 t=92119
diao zhui 	吊墜	c=1 d=1 t=18777
die 	爹	c=6 d=1 t=120925
die 	疊	c=6 d=1.00012 t=99722
die 	碟	c=0 d=0.1 t=63775
die 	跌	c=1 d=1 t=23643
die dai 	迭代	c=7 d=1 t=111434
die jia 	疊加	c=3 d=1 t=111483
die luo 	跌落	c=1 d=1 t=125214
die zhan 	諜戰	c=1 d=1 t=21674
ding 	定	c=34 d=1.93725 t=132477
ding 	訂	c=0 d=0.1 t=63686
ding 	頂	c=10 d=1 t=128530
ding bei li 	丁贝莉	c=1 d=1 t=61722
ding bu shang 	定不上	c=1 d=1 t=128428
ding dan 	訂單	c=16 d=1 t=95552
ding de 	定得	c=1 d=1 t=11664
ding de zhu 	頂得住	c=1 d=1 t=43149
ding ding 	钉钉	c=3 d=1 t=134690
ding ding ding 	頂頂頂	c=1 d=1 t=122284
ding dui 	頂堆	c=1 d=1 t=103105
ding duo 	頂多	c=1 d=1 t=68550
ding fa 	定法	c=1 d=1 t=81274
ding feng 	頂峯	c=1 d=1 t=134640
ding feng 	頂風	c=1 d=1 t=92898
ding ge 	定个	c=4 d=1 t=129861
ding ge xing xing 	定个星星	c=1 d=1 t=85529
ding hao 	定好	c=1 d=1 t=75537
ding hui 	顶会	c=1 d=1 t=12460
ding hun 	訂婚	c=9 d=1 t=91731
ding ji 	定級	c=12 d=1.00589 t=131594
ding ji 	頂級	c=1 d=1 t=60679
ding ji tao 	訂幾套	c=1 d=1 t=63687
ding jia 	定價	c=1 d=1 t=107584
ding jian 	頂尖	c=1 d=1 t=71866
ding jin 	訂金	c=1 d=1 t=107792
ding le 	定了	c=11 d=1 t=128841
ding li 	定理	c=7 d=1 t=39642
ding lun 	定論	c=0 d=0.1 t=119683
ding lv 	定律	c=1 d=1 t=18002
ding pei 	顶配	c=3 d=1.97045 t=113152
ding qi 	定期	c=1 d=1 t=246
