# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1172
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=4 d=1.35211 t=1172
xie wan 	寫完	c=1 d=0.117655 t=1172
xin 	新	c=2 d=0.366478 t=1172
xin ku 	辛苦	c=2 d=0.401293 t=1172
xin nian 	新年	c=1 d=0.625002 t=1172
xin qu 	新區	c=1 d=0.0800583 t=1172
xin ren 	新人	c=2 d=0.688528 t=1172
xin tong xue 	新同學	c=1 d=0.298197 t=1172
xin xi 	信息	c=1 d=0.172045 t=1172
xin zeng 	新增	c=1 d=0.148823 t=1172
xiu 	修	c=1 d=0.275271 t=1172
xiu fu 	修復	c=4 d=0.825722 t=1172
xu 	序	c=1 d=0.449329 t=1172
xu 	徐	c=1 d=0.790571 t=1172
xu lie 	序列	c=2 d=0.985776 t=1172
xu qiu 	需求	c=0 d=0.0882497 t=1172
xu yao 	需要	c=4 d=0.983403 t=1172
xuan cuo 	選錯	c=1 d=0.331211 t=1172
xuan ze 	選擇	c=2 d=0.973991 t=1172
xue xi 	學習	c=1 d=0.349938 t=1172
xun lian 	訓練	c=3 d=0.79346 t=1172
ya 	丫	c=0 d=0.0923116 t=1172
ya 	牙	c=0 d=0.0181772 t=1172
ya xian sheng 	牙先生	c=1 d=0.182684 t=1172
yan zheng 	驗證	c=3 d=1.69785 t=1172
yao 	要	c=5 d=1.57303 t=1172
yao bu 	要不	c=1 d=0.0850088 t=1172
yao qing 	邀請	c=0 d=0.0371577 t=1172
yao qing ma 	邀請碼	c=1 d=0.373439 t=1172
yao qiu 	要求	c=1 d=0.124307 t=1172
yao shi 	要是	c=1 d=0.369723 t=1172
ye 	也	c=3 d=0.918512 t=1172
ye ji 	業績	c=1 d=0.121238 t=1172
ye wu 	業務	c=4 d=1.43238 t=1172
ye yao 	也要	c=1 d=0.423162 t=1172
yi 	洢	c=2 d=1.6823 t=1172
yi bian 	一遍	c=1 d=0.301194 t=1172
yi ci xing 	一次性	c=1 d=0.208045 t=1172
yi ding 	一定	c=1 d=0.332871 t=1172
yi ge 	一個	c=3 d=0.967287 t=1172
yi jing 	已經	c=5 d=0.922747 t=1172
yi lai 	依賴	c=1 d=0.759572 t=1172
yi pian 	一片	c=1 d=0.282239 t=1172
yi ren 	一人	c=1 d=0.290835 t=1172
yi suan 	一算	c=1 d=0.283654 t=1172
yi tian 	一天	c=2 d=1.10335 t=1172
yi tian dao wan 	一天到晚	c=1 d=0.97531 t=1172
yi wan 	一萬	c=1 d=0.960789 t=1172
yi xia 	一下	c=1 d=0.0864623 t=1172
yi xia xia 	一下下	c=1 d=0.112478 t=1172
yi xie 	一些	c=1 d=0.418952 t=1172
yi yang 	一樣	c=1 d=0.179066 t=1172
yi ying 	洢穎	c=1 d=0.869358 t=1172
yi za 	一紮	c=1 d=0.292293 t=1172
yi zhi 	一直	c=1 d=0.105928 t=1172
yi zhou nian 	一週年	c=1 d=0.65377 t=1172
yin yue 	音樂	c=2 d=1.14002 t=1172
ying 	穎	c=3 d=2.56445 t=1172
ying xiang 	影響	c=1 d=0.603506 t=1172
yong hu 	用戶	c=3 d=1.24992 t=1172
you 	有	c=4 d=1.49099 t=1172
you da lao 	有大佬	c=1 d=0.289384 t=1172
you fan kui 	有反饋	c=1 d=0.191092 t=1172
you hua 	優化	c=2 d=0.986056 t=1172
you jian 	郵件	c=1 d=0.726149 t=1172
you mei you 	有沒有	c=1 d=0.136014 t=1172
you xiao xing 	有效性	c=1 d=0.180866 t=1172
you yi xie 	有一些	c=1 d=0.767206 t=1172
you yu 	優於	c=1 d=0.57695 t=1172
yu ce 	預測	c=1 d=0.514274 t=1172
yu chao 	玉超	c=1 d=0.244143 t=1172
yu chu li 	預處理	c=1 d=0.440432 t=1172
yu dao 	遇到	c=1 d=0.0997588 t=1172
yu liao 	語料	c=1 d=0.211189 t=1172
yu yue 	預約	c=1 d=0.187308 t=1172
yuan 	員	c=0 d=0.0120032 t=1172
yuan yin 	原因	c=1 d=0.349938 t=1172
yue le 	約了	c=1 d=0.19398 t=1172
zai 	在	c=7 d=1.51435 t=1172
zai gen 	再跟	c=0 d=0.0254107 t=1172
zai gen ni 	再跟你	c=1 d=0.255381 t=1172
zai zhe 	在這	c=1 d=0.236928 t=1172
zao mai 	早賣	c=1 d=0.108609 t=1172
zao qi 	早期	c=1 d=0.609571 t=1172
zao shang 	早上	c=1 d=0.0753961 t=1172
zha 	炸	c=1 d=0.137381 t=1172
zhang 	賬	c=1 d=0.204948 t=1172
zhao 	找	c=1 d=0.064894 t=1172
zhao dao 	找到	c=1 d=0.353455 t=1172
zhao gu 	照顧	c=0 d=0.0085435 t=1172
zhao gu ni 	照顧你	c=1 d=0.0858632 t=1172
zhao hu 	招呼	c=1 d=0.147342 t=1172
zhao ni 	找你	c=1 d=0.854788 t=1172
zhao ren 	招人	c=1 d=0.327915 t=1172
zhao shui 	找誰	c=1 d=0.810584 t=1172
zhe 	着	c=1 d=0.324652 t=1172
zhe 	這	c=0 d=0.0321422 t=1172
zhe ge 	這個	c=6 d=2.11945 t=1172
zhe me 	這麼	c=1 d=0.951229 t=1172
zhe shi 	這是	c=1 d=0.878095 t=1172
zhe xie 	這些	c=1 d=0.790571 t=1172
zhe yang 	這樣	c=3 d=0.596197 t=1172
zheng 	鄭	c=1 d=0.29523 t=1172
zheng xin 	鄭昕	c=1 d=0.29671 t=1172
zhi 	智	c=1 d=0.562705 t=1172
zhi chun lu 	知春路	c=1 d=0.197899 t=1172
zhi dao 	知道	c=0 d=0.0105928 t=1172
zhi hou 	之後	c=2 d=0.32838 t=1172
zhi jie 	直接	c=4 d=1.77169 t=1172
zhi neng 	智能	c=1 d=0.0880368 t=1172
zhi qian 	之前	c=1 d=0.173774 t=1172
zhong 	中	c=1 d=0.740818 t=1172
zhong dian 	重點	c=1 d=0.0987662 t=1172
zhong yu 	終於	c=1 d=0.190139 t=1172
zhu xi 	主席	c=1 d=0.12307 t=1172
zhua zhu 	抓住	c=1 d=0.0889216 t=1172
zhuan 	轉	c=1 d=0.826959 t=1172
zhuan fa 	轉發	c=1 d=0.718924 t=1172
zhuan hua 	轉化	c=1 d=0.752014 t=1172
zhuan huan 	轉換	c=1 d=0.729789 t=1172
zhuang tai 	狀態	c=1 d=0.114178 t=1172
zhun bei 	準備	c=1 d=0.185515 t=1172
zhun dian 	準點	c=1 d=0.22091 t=1172
zhun que lv 	準確率	c=1 d=0.516851 t=1172
zi 	子	c=1 d=0.863626 t=1172
zi 	字	c=1 d=0.860708 t=1172
zi dong 	自動	c=2 d=0.511709 t=1172
zi ji 	自己	c=1 d=0.810584 t=1172
zi mo kuai 	子模塊	c=1 d=0.104874 t=1172
zi yan 	自研	c=1 d=0.227638 t=1172
zong 	總	c=1 d=0.362402 t=1172
zong cai 	總裁	c=1 d=0.970446 t=1172
zu 	組	c=0 d=0.173529 t=1172
zu cheng 	組成	c=1 d=0.594521 t=1172
zu gou 	足夠	c=1 d=0.103312 t=1172
zui hou 	最後	c=1 d=0.109154 t=1172
zui jin 	最近	c=1 d=0.331211 t=1172
zui xin 	最新	c=1 d=0.106459 t=1172
zuo 	做	c=3 d=1.76152 t=1172
zuo tian 	昨天	c=3 d=1.36813 t=1172
zuo wan 	昨晚	c=1 d=0.396531 t=1172
zuo yong 	作用	c=1 d=0.0880368 t=1172
